essay_id,full_text,score
2bb7f66,"Being a Seagoing Cowboy does sound like a lot of fun. I think being a Seagoing Cowboy would be fun.

First you are helping others.

It sounds fun to do, you have something to do, you are being a hero. you get to do a lot of traveling and sightseeing

You get to see things you have never seen before.

Seagoing gives you the chance to see different when you travel. You kinda become a role model when you are a Seagoing Cowboy. You are looking out for others i think you should be responible and caring to be a Seagoing Cowboy. It could be a lot of fun and make you happy to protect people. You are making people feel safe.

In conclusion i think the Seagoing Cowboy program is good for people and they should join it. It's an important and fun job, sometimrs you get hurt and it can be dangerous but it awesome. Just be careful with dangers at sea.",2
e723c40,"We all take risks. Sometimes these risks are not worth it and very dangerous. For example, we all had to learn how to ride a bike for the first time. We thought we couldn't do it. We thought we'd fall but we all took a risk and went for it. In ""The Challenge of Exploring Venus"", the author believes that studying Venus is a worthy pursuit despite the dangers it presents. The author is taking a risk in studying Venus and studying what our sister planet has to hold. They're taking a risk in that, worse comes to worst, it could end up nowhere and all that time and energy was for nothing. I believe that the author has valuable and logical reasons for believing that Venus is a worthy pursuit no matter what dangers it presents.

One of the reasons the author thinks Venus is worth a shot to look into is that Venus once was the most Earth-like planet in our solar system. This is important because scientists can compare and contrast Venus and Earth. Scientists can take note of what Venus had that Earth doesn't. They can find out

how the formations are similar to ours on Earth. In the article, it says that Venus still has ""a surface of rocky sedment and includes familiar features such as valleys, mountains, and craters."". Venus being so alike to Earth is huge because that means it once sustained life. Venus supporting forms of life in the past is important but what may be even more important is Venus having the potential of supporting life today.

Another reason the author shows that Venus is worth studying in the article is by saying that ""the value of returning to Venus seems indisputable,"". Having a plan B is definitely important. Being able to fall back on something gives relief to most people. In ""The Challenge of Exploring Venus"", the author says that there is potential for Venus to become habitable again which means there is potential for a backup plan if anything were to happen to planet Earth that makes it inhabitable. This changes the game because that means there is hope if anything goes wrong in the future. Venus is worthy to look into for this reason even thought temperatures average over 800 degrees Fahrenheit and conditions are far more extreme than anything humans encounter on Earth. I believe we can overcome that.

The last reason I think the author supports the idea of studying Venus is because of the technology we have today. The author states in the article that ""NASA is working on other approaches to studying Venus."". The author thinks that with NASA developing electronics made out of different, more durable materials that we are getting closer and closer to discovering different parts of Venus too dangerous for humans. With a satelitte or rover made specifically to sustain the extreme conditions of Venus, we can learn so much more about Venus. The author believes that with the right materials and mindpower, we can study Venus even better without having to deal or struggle with the dangers it presents.

The author supports the idea that studying Venus is a worthy pursuit despite the dangers it presents in that they believe we can learn more how Venus and Earth were so similar at one point. The author supports their claim because they think Venus has the potential to become habitable again. They also believe that we have the materials and technology to explore Venus despite its extreme conditions. ",4
7b76d55,"In the article ""Making Mona Lisa Smile,"" the author describes how a new technology enables computers to identify human emotions. The invention of the Facial Action Coding System lets us read human emotions better than we do now, but is it valuable in a classroom?

In my opinion having a Facial Aciton Coding System in our classes would not be our number 1 priority, for example getting better access to wifi servers that would allow us to use our computers for projects on google without it crashing. In the other hand in paragraph 6 when the author stated ""A classroom computer could recognize when a student is becoming confused or bored, then it could modify the lesson like an effective human instructor."" I really liked that idea, because it could help out some students whose strengths may not be in that subject. In my case, that could help my me on better understanding my Geometry homework, but my computer would end up crashing and the whole purpose of the experiment would be destroyed. There is another thing we could do also, we could refer back to what we used to do and just ask our teachers to help us. We do not need a computer to explain the lesson better, I have seen there are a lot of visiual learners who have questions in my class and I don't think the computer could talk back to them and give them an answer they want to hear.

In conclusion, while the idea of having a machine identify your emotions sounds cool and fun, it would not be an essential to the classrooms it would just save us money to refer to the system we use today, which is to jsut ask our teacher.",3
66967ca,"Dear senatoris it posible for you to change the electoral college to election by popular vote for the president of the united states because its better.""Acording to source one, the electoral college consists of 538 electors"".""A majority of 270 electoral votes is required to elect the president"". Thats alot of votes that electoral college needs.

In source two it says ""over 60 percent of voters would prefer a direct election to the kind we have now"". More people prefer the direct vote because under the electoral college system voters vote for for a slate of electors,who in turn elect the president. acording to the article in reason one.""In 2012 obama received 61.7 persent of the electoral vote compared to 51.3 percent of popular votes for him and Romeny. because almost all states award electoral college votes on a winner- takes-all basis"".

for example in reaosn five ""nixon in 1968 and clinton in 1992 both had only a 43 percent plurality of the popular votes,while winning a majority in the electoral college(301 and 370 electoral votes,respectively).alot of people say that electoral college method of selecting the president may turn off potential voters for a candident. people that are in presidental elections are people who want to express a political preference rather than people who think that a singel vote may decide an election.                              ",2
192c7f5,"The new technology called Facial Action Coding System enables computures to identify human emotions. The process begins when the computer contructs a 3-D computer model of the face. The fourty-four muscles in the model must move like human muscels. Dr. Paul Eckman creator for FACS calculated the emotions of Mona Lisa. I do not believe that FACS is important for the students to learn about.

This technology is not important to what is going on to in the class room or in todays world. The students in highschool have other things they have to be getting ready for like graduation. There are standards into graduating on time or even early and I am sure learning how to caluclate emotions from a computer and pictures is not one of them. The technology is in the path of achievment if the activity is in a progam by its self and not in the high school or middle school. Some students are pushing the edge to gradutate as it is. This will be something they will want to do and they cant if they are behind in their classes. These students already have way more technology on their hands now adays than they should. The technology is upgrading each day. FACS is not something that would help someones career with in the futrue. School's should be about helping kids get ready for the future. They should not make everything the students be on the computers. Some people want to contain the knowledgement about the expresstions on other peoles faces than gradution than they should take a class about FACS out side of school. The kid in elementry are not going to know what paper and pencil's even are if we keep coming up this technologys like this that we dont really need. I would not want a computer telling people, or evem myself, what mood i am in. I know what mood I am in. I would not want my parents to know if I was mad because I would be mad at them and not want them to know. If people wanted you to know their feelings they will most likely tell you how they feel. The Facial Action Coding System is the waste of a schools money. The money that is put into the FACS is way more than a school could possibly They could use the money to fix something around the school. The FACS is just way out of hand.

The new technology called Facial Action Coding System enables computures to identify human emotions. The process begins when the computer contructs a 3-D computer model of the face. The fourty-four muscles in the model must move like human muscels. Dr. Paul Eckman creator for FACS calculated the emotions of Mona Lisa. I do not believe that FACS is important for the students to learn about. Students should focus on getting a diploma, rather than knowing someones emotions through a computer and picture.      ",3
e133934,"Luke Bomberger used to be an average teenager working two part-time jobs. Then his friend, Don Reist, came and asked him if he wanted to be a 'Seagoing Cowboy', or one who helps bring livestock to war victims in Europe. Luke then took this as an opportunity of a lifetime and couldn't resist.

The Seagoing Cowboys are a group of people who take care of livestock that were being shipped overseas to help the many that were devastated by the war in Europe. This livestock included young cows, horses, and mules. Shortly after Don and Luke found out about the Seagoing Cowboys, they then both signed up. LIttle did Luke and Don know, this job had a lot of risks.

The Seagoing Cowboys were a great part of an even greater orginization, the UNRRA, or the United Nations Relief and Rehibilitation Adminisrtation. This orginization was made up of 44 nations. This orginization also helped relieve and rehibilltate the devastated families of Europe. Luke knew what he was doing was a great cause, but did he know that going across the Atlantic and the Pacific oceans was a very risky thing. Luke could have had second thoughts about the risks that he was taking, but he wasn't doing it for himself, he was doing it for the people that needed his help.        ",1
95e6c93,"Have you ever seen Seagoing Cowboy Program go to sea? I, Luke, have went to the Seagoing Cowboy Program. It is really run. You get to go to many places. As stated in the article you get to help out people.

Would you want to go on the program? You should really think about it. If you like to explore or help people out you would like it. If you don't like those things you wouldn't be a big fan. If you wouldn't do it you would regret it later.

In the article it says that he was happy to be alive. When I was little my aunt Katie's farm as a boy prepared him for work. It helps to know that helping out taught me to be responsible. I was always busy helping. I aslo had fun on board. I got to help with things on board.

Also stated in the article it says that I had no idea that my life would change soon after my high school graduation. My friend Don Reist innvited me to go to Europe on a cattle boat. After World War II was over in Europe, and many countries were left in ruins.

I hope I've made you want to come to the program. If not try to think more about it. I would not change it for the world. You get to spectate so many places around the world. Would you go to the problem? ",2
603df6a,"I belive that the technology can be some what invaled because you cant excatly tell how a person thinks or feels because they could be sad on the inside but show a nuteral face on the outside or, they could be crying but while crying but crying tears of joy .How could a computer tell you the way that someone feels if they could feel a totaly diffrent way. A way a person looks on the outside may not be the way that they are feeling on the inside a computer is not a person it doesnt have emotions so how excatly could it telll what the emotions of another person or how they are feeling at the time . I dont belive that many people can tell the diffrence of a fake smile or a real smile so let alone how can a computer tell the diffrence between a fake or real smile because people think im happy alot. I usally fake my smile because i am sad on the inside but i look happy on the outside. With me saying that just by looking at a person can be deciving because you never know how the person excatly feels or what is going on in there head so therefore i belive that the facs can not tell a persons emotions.",2
c624421,"Venus the closest planet to earth

in terms of size and density sometimes called ""Evening Star "" because it is ""the brightest point of ligth in the sky""(para. 1). Venus is known to be very challenging planet to study for the scientists and NASA. The reason why it is very diffecult planet to study is because

its temperatrure is 800 fahrenheit and spacecrafts aren't able to survive. NASA has been sending unmanned spacecraft, for a good reason the space crafts have not been able to survive alone. The author suggests that studying venus is a worthy pursuit despite the danger it presents because NASA sees it as challenge, its earth-like

and wants to know its past.

Venus is challenging planet to NASA and many scientists because of how deffecult it is to study it.Venus has a very bad atmosphere with 97 percent of carbon dioxiode which makes it hard for spacecraft to see around. According to the article of ""The Challenge of Exploring"" it said the ""Even more challenging are trhe clouds of highly corrosive sulfuric acid in venus's atmosphere""(para. 3) What quoter is trying to say is that the NASA has to build very strong spacecraft strong enough it won't melt and a flying one. The spacecraft has to be ableto fly because if it touchs the ground it will be destroyed. Some people migth say that if it is dangerous planet why bother studying it, NASA needs to know what kind of planet Venus is for safty of earth and the people.

Venus very much earth like it was said in the article that venuis was filled withoceans long ago. The size of venus is also simialar to earth, earth and venus also travell around the sun at the different speed including Mars. Meaning that eartyh is sometimes closer to venus and sometimes closer to Mars. ""Astronomers are fascinated by Venus because it may well once have been trhe most earth-like planet in our solar system""(para.4). The want to me progress in exploring Venus because they want to find more similarty between earth and Venus.

In Venus's past it was said that there were oceans. The scientists and NASA teams are trying to figure out how Venus has ended up the way it is now. Looking at the past of Venus shows that is was filled with water like earth. studys have found that Venus most likely supported varios forms of life in the past. In present it very hot and no form of living thing cansupprted by it.

Overall Venus can be studied safely by NASA and many scientists. It is worth studying for since it is so much like earth. It is always good to stay ahead anything can happen to earth anytime. So its best to study every earth-like planet .Even if Venus is dangerous NASA can change that and learn more. ",4
cbfd6dd,"Cars  are starting to beome more and more expensive everday. Why pay when a person could either usea train,bike,or just walking. Stated in soure 1 ""As a result, 70 percent of vauban's families do not own cars, and 57 percent sold a car to move here..."" Many people are glad that they had sold thier car because it just cost to much money for others. Therefore many people need to limit their car usage.

To begin with, Cars could have many flaws that may infect the environment or humans. Stated in source 2 ""After dats of near-record pollution, Paris enforced a partial driving ban to clear the air of the global city."" So because cars take in gas it may effect the environment because inside of the car is more chemicals a that comes out of the exhust system. Stated in Soure 1 ""Many experts expect public transport serving suburbs to play a much larger role in a new six-year federal transportation bill to be apporved this year, Mr. Goldberg said."" this may be true because gas prices may go down and the environment will stay clean. However, waiting for public may mean waiting for a couple of hours. But when having a car a person can get to their event or job on time. Stated in Source 3 ""The day without cars is part of an improvent campaign that began in Bogota in the mid-1990s."" Maybe if the United States started to start a campaign then maybe their wouldn't be so much smog in the air thats pulluting the environment.

Also, in America many people would never give up their cars just for the looks. Stated in Source 4 ""But America's love affair withits vehicles seems to be cooling."" So i guess that would be a great start for the environment for America. But how long will America last with out a vehicles? From my point of view, not for long that's my opinion. Although, stated in Source 4"" Whether members of the millennial generation will start buying more cars once they have kids to take to soccer practice and school plays remains an open question."" In my opinion i wouldn't take a bunch of kids on the train just to get to school or to a  soccer game and then once that is all over with then have to get back on the train just to take tem back home. Anything can happen. That's why having cars have pro's and Con's. But others may think of the train ride as bonding time or just getting to know the full team better.

Stated in Source 3 ""Parks and sports centers also have bloomed throughout the city;uneven, pitted sidewalks have been replaced by broad, smooth sidewalks; rush-hour restrictions have dramatically cut traffic."" So having cars helps everyone a lot less accidents would happen and park and sports centers are making good profit. So now everyone could be happy and go on with their life. Stated in Source 4 "" With all these changes , people who stopped car cummuting as a result of the recession may find less reson to resume the habit..."" I would totally agree with these , because when u stop driving it means more money and better health.

Finally, cars should be limited for many reasons. Limiting car usage would many better health and less gas, and also less accidents on the road. Stated in Source 4 New York's new bike-sharing program and its syrockiting bridge and tunnel tolls reflect those new pririties."" Therefore many jobs aren't complainig about the less car usage and some people aren't complaining about it. Many people should stop using cars to help the environment out and to get into shape.     ",4
14d573e,"Having a car can get you places much faster than walking or riding a bike. But there's a price you pay either on gas or the co2 emisions coming from the muffler. It is extreamly bad for the planet and we need to take action. Reducing car usage will releive you and you wont be as stressed. In some countries they have a car-free day where millions of people ride the bus, hike or walk. Thats in BOGOTA, Columbia it is smart of them but its going to take a lot more to make a change for the best. (source 3:Car-free day in spinning into a big hit in Bogota)

Conjested cities are known to have smog and that is nothing but air polution. And all of that  polution isnt going anywhere. it stacks up causing a greenhouse effect and harming the air we breathe. But theres always going to be people driving cars unsless stricked rules are made up. we need to enforce that we only have one earth and everytime someone steps inside a car we are harming it. There are other means for transportation and we need to stop being lazy and carpool or take a taxi or bus and limit the emitions or else we are bound to doom ourselves in a co2 filled planet.  (Source 1: In German Suburb, Life Goes On Without Cars)

But banning car driving can harm the economy greatly causing the unemployment rate to skyrocket because the car companies couldnt sell anything. And transportation keeps everything running throughout America and the world. So the greatest idea would be to create a car that doesnt burn up emitions and sends them out into the atomosphere. We couldnt just get rid or all cars because our world is dependent on them. but we should use them smarter and drive durng sertain times.

so all in all we should just keep on driving and do the best we can to stop all the air polution and try to make the world better for future genorations. and we just need to get smarter    ",3
e22abc7,"My opinion on driverless cars is that i dont think

they are a good idea because some people enjoy driving, like me for example i have never gotten the chance to drive but i would really like too. If they were make driverless cars i might have to ""wait my turn"". Which means that when the car decides that it can't handle it anymore its going to make me drive it. I would like to drive the car at all times like it says in the article."" the google simple announces when the driver should be ready to take over.

The idea of a driverless cars just make me want to know why someone would think of this i mean if you have a driverless car it ,ight toose funiction at anytime, and the driverless cars is basically all technology which mean it would malfunction at anytime just like your computure, or phone. A driverless car is a danger to society because so may things can go wrong with it. A driverless car could cause a big accedint if something goes wrong with it when its in motion.

If your cellphone or computer needs to be traded out every two years would it be the same with a car? I mean if the car starts doing things that could put people in dantger is it going to be bad.If there was to be in accedint would it be the cars fault or the drivers fault? If the car was in an accedint some people might say that it was the cars fault they might lie and try to sew whoever made the car.like it says in the article "" who is at fault the driver ot the manufactuer. No one would know so i think that the car is a bad idea.

The car might also have a positive effect like somepeople like to text and drive like they have an addiction to there phone. If someone decides that they want to send a text messege while driving they wouldn't be driving and i thyink that thats pretty cool. If tyhe cars would be invented would textuing and driving still be illegel? Cops wouldn't be able to pull you over because you weren't driving i also think that is pretty cool. That is my opinion on the driverless car.",4
